title,meal,location,season,speciality,url,text,pubdate,author,veg,vegan,GF
Dijon mustard – 1 tsp.
Plain yogurt – 2 tbs.
Olive oil – 2 tbs.
Parmesan cheese, shaved – 2 oz.
Pine nuts – _ cup

Kale – Tear off leaves into bite-sized pieces
Dressing – Whisk together lemon juice, mustard, yogurt, some hot sauce (opt) and oil. Season to taste with salt & pepper. Toss with kale leaves. Cover and refrigerate until it’s time to serve
Preheat oven to 375 degrees
Place pine nuts on a sheet pan and toast in the oven for 3 to 5 minutes until golden brown. Give it a shake midway through
Shave parmesan into kale salad (I like to use a regular vegetable peeler for this). Add in pine nuts and toss. Season to taste with salt
Add in pine nuts and toss when ready to eat. Season to taste with salt",,http://www.cooksmarts.com/cs-blog/2013/06/kale-and-parmesan-salad-with-lemon-yogurt-dressing/#4V3Rz2qqEtqfoSFh.99,yes,no,yes

Eggplant salad,Supper,Wisconsin,fall,No,,,,"Algerian, North Africa cookbook",yes,,

Spinatesuppe,Supper,Wisconsin,fall,No,,,,"Scandinavian, TL Scandinavia",yes,,

Shakshuka,Supper,Wisconsin,fall,No,,"1 tbsp olive oil
1/2 medium brown or white onion, peeled and diced
1 clove garlic, minced
1 medium green or red bell pepper, chopped
4 cups ripe diced tomatoes, or 2 cans (14 oz. each) diced tomatoes
2 tbsp tomato paste
1 tsp chili powder (mild)
1 tsp cumin
1 tsp paprika
Pinch of cayenne pepper (or more to taste-- spicy!)
Pinch of sugar (optional, to taste)
Salt and pepper to taste
5-6 eggs
1/2 tbsp fresh chopped parsley (optional, for garnish)

Heat a deep, large skillet or saut_ pan on medium. Slowly warm olive oil in the pan. Add chopped onion, saut_ for a few minutes until the onion begins to soften. Add garlic and continue to saut_ till mixture is fragrant.

Add the bell pepper, saut_ for 5-7 minutes over medium until softened.

Add tomatoes and tomato paste to pan, stir till blended. Add spices and sugar, stir well, and allow mixture to simmer over medium heat for 5-7 minutes till it starts to reduce. At this point, you can taste the mixture and spice it according to your preferences. Add salt and pepper to taste, more sugar for a sweeter sauce, or more cayenne pepper for a spicier shakshuka (be careful with the cayenne... it is extremely spicy!).

Crack the eggs, one at a time, directly over the tomato mixture, making sure to space them evenly over the sauce. I usually place 4-5 eggs around the outer edge and 1 in the center. The eggs will cook ""over easy"" style on top of the tomato sauce.

Cover the pan. Allow mixture to simmer for 10-15 minutes, or until the eggs are cooked and the sauce has slightly reduced. Keep an eye on the skillet to make sure that the sauce doesn't reduce too much, which can lead to burning.

Some people prefer their shakshuka eggs more runny. If this is your preference, let the sauce reduce for a few minutes before cracking the eggs on top-- then, cover the pan and cook the eggs to taste.

Garnish with the chopped parsley, if desired. Shakshuka can be eaten for breakfast, lunch, or dinner. For breakfast, serve with warm crusty bread or pita that can be dipped into the sauce (if youÍre gluten-intolerant or celebrating Passover, skip the bread). For dinner, serve with a green side salad for a light, easy meal.",,http://theshiksa.com/2010/07/28/summer-2010-travel-blog-shakshuka/,yes,no,yes

"vegetarian sushi (tofu, cream cheese, quark, carrots, cukes, kale, daikon, spring onion, peppers)",Supper,Wisconsin,fall,No,,,,0,yes,,

encocoada,Supper,Wisconsin,fall,No,,,,"Javier, Ecuador",yes,,

Tomatillo Eggplant Curry,Supper,Wisconsin,fall,No,,"1/4 tsp. mustard seeds 
1/4 tsp. cumin seeds
1/4 tsp. coriander seeds
Kosher salt, to taste
2 – 3 small dried red peppers 
1 white onion, chopped
1 – 2 shallot, chopped
2 – 4 garlic cloves, minced
Thumb-sized piece of fresh ginger, finely diced
2 green onions 
4 – 5 tomatillos, chopped
1 Japanese eggplant, chopped
1 small red bell pepper, chopped
Ground black pepper, to taste
Water or chicken stock, as needed
2 green chiles, finely diced

Toast spices and peppers in a dry pan until they begin to pop (about 2 minutes); grind spices in a spice mill, mortar and pestle, or molcajete.  They should be a fine dust.  Set aside.
Heat oil in a large frying pan or wok.  Sweat onions for a minute or two; add ground spices.  Fry onions until they turn translucent.  Add shallots, garlic, ginger, and white part of chopped green onion.  Saute for several minutes.
Add chopped tomatillos and saute over high heat until tomatillos begin to break down (about 4 or 5 minutes).
Remove mixture from heat; blitz in a food processor or blender until a thick sauce is formed.  Set aside.
Wipe out pan.  Heat 2 – 3 tbls. oil and add eggplant.  Add salt and oil as needed.  Fry eggplant until skin begins to blister.
Add back in tomatillo and onion mixture.  Add in red bell pepper and simmer over low heat for several minutes.
To serve, stir in chopped green onions and spoon over basmati rice.  Top with chopped green chiles, to taste.  Time allowing, it would also be good with dal and naan bread (but that’s a weekend meal).",,https://kylemox.wordpress.com/2010/10/13/tomatillo-and-eggplant-curry/,yes,yes,yes

Pozole de Jalisco,Supper,Wisconsin,fall,Yes,,"From: The Cuisines of Mexico Revised Edition, Diane Kennedy, 1972 (1986), p. 162.

1 32 oz can of cooked hominy
1 _ lbs pork, tenderloin or butt without bone
_ pigês head (not more than 3 pounds)(optional)
1 pound pork neck bones
Cold water to cover
2 cups chiles de arbol
1 _ tbsp. salt
For serving:
Finely chopped onion
Sliced radishes
Finely shredded lettuce
Wedges of lime
The salsa picante

Cut the pork into large serving pieces and put it, with the head and bones, in cold water to soak overnight. Change the water as often as is practical.

Cover the chiles with cold water and let them soak overnight.

On serving day:
If using dried then soaked hominy: cover the hominy with the cold, unsalted water. Bring to a boil and cook, uncovered, over a brisk flame until it opens up like a flower _ about 1 hour. DO NOT STIR THE CORN during this time, but, if necessary, skim the surface of the water from time to time.

Cover the head with cold, unsalted water. Bring to a boil, then lower the flame and let it simmer, uncovered, until the flesh can be rmoved from the bone _ but do not overcook _ about 1 hour. Set it aside to cool.

When the head is cool enough to handle, remove all the meat, skin, etc. and cut it into serving pieces. Cut the ear up (there should be a piece for everyone) and set the eye aside for the honored guest. Add the pieces of head, and the broth in which it was cooked, to the corn in its pot.

Add the salt. Place the meat on top of the corn and let the pozole cook, uncovered, over a gentle flame for about 4 hours. Throughout the cooking time skim the fat from the surface. Keep some water boiling in a kettle at the side to add to the liquid in the pan. On no account should cold water be added. The liquid should be maintained at almost the same level from start to finish.

Salsa picante: blend the chiles with the water in which they were soaking. Strain the sauce through a sieve. Do not add salt. 

To serve: Place the meat onto a serving dish so it can be divided up more easily and everyone can have the part that he likes best. Serve the pozole with the corn in large, deep bowls, with the following small side dishes to which everyone can help himself: the salsa picante, onion, radishes, lettuce, and lime.

Note: Pozole de Jalisco is not served with oregano, as it is in the neighboring state of michoacan. 

The chili used for the sauce in Jalisco is chilie de arbol, a long, thin, dried, bright red chili.

The pozole should be cooked with plenty of salt; you may need to add more just before the end of the cooking time.

Only those who know the wonderful flavor and consistency of a soup made with the specially prepared corn will appreciate ho hard it is for me to say: if you canêt get the real corn, use canned. In that case, cook the had first, add the rest of the meat, and an hour later add the drained canned hominy. ",,Kennedy,no,no,yes

Finnish Pasties,Supper,Wisconsin,fall,No,,"From: The Flavor of Wisconsin: An Informal History of Food and Eating in the Badger State, Harva Hachten and Terese Allen, 2009, p. 226.

5 cups flour
2 cups shortening
1 tbsp salt
1 cup water
2 lbs pork diced small
2 medium onions, diced
6 small carrots, diced
_ rutabaga, diced
10 small potatoes, peeled and diced
Salt and pepper
4 tbsp butter, cut into bits (optional)

Pasties also had _ and have _ a presence in far northern Wisconsin, near Michiganês Upper Pennisula, another place besides southweatern Wisconsin where eighteenth-century Cornish miners emigrated to find jobs. Other Europeans who worked the lead mines there, particularly Finns and Italians, embraced the pasty, and eventually the little meat pies gained status as a regional specialty. Today, residents and visitors can get a taste of local flavor at pasty shops, small-town bakeries, and community fundraisers. 

Mix flour, shortening, and 1 tbsp salt with a fork until mixture resembles cornmeal in texture. Add water and stir just until pastry holds together.

Combine pork, onions, carrots, rutabaga, and potatoes, and season well with salt and pepper.

Roll out dough into 6 to 8 circles. For each pasty, place meat filling on half the pastry, dot with butter, fold over and press dough firmly together, and crimp to seal. Bake in pie pan at 325F 1 to 1 _ hours. Makes 6 to 8 servings.",,Flavors of WI,No,No,No

Winter squash leaves w/ coconut milk,Supper,Wisconsin,fall,No,,"6 ounces winter squash leaves (see preparation at link)
1/4 cup coconut milk
1 cup water
1/2 teaspoon plus 2 pinches salt

Bring coconut milk, water and salt to a boil on medium-high heat. Then add the squash leaves, using tongs to turn them around to make sure they are all cooked in the liquid„like blanching the leaves in a coconut broth. Cook from 3 to 5 minutes until the greens reach your desired degree of tenderness. Serve with the broth as a side dish, or with warm jasmine rice as a main dish.",,http://praneesthaikitchen.com/2011/08/09/winter-squash-leaves-salted-coconut-milk/,yes,yes,yes

root veg pancakes/latkes,Supper,Wisconsin,fall,No,,,,Flavors of WI,,,

Lamb Liver with Whiskey Sauce,Supper,Wisconsin,fall,No,,"1lb / 500g lamb's liver, membrane removed, sliced crosswise into 1/4-in / 6mm slices
2 cups / 475ml milk
Salt
_ cup / 125g butter
1 onion, minced
2 tbsp Irish whiskey
_ cup / 120ml heavy cream
1 tbsp wholegrain mustard
1 tbsp chopped fresh chives
Pepper

Put the liver into a shallow dish large enough to hold it in a single layer; then cover with the milk and sprinkle lightly with salt. Cover and refrigerate overnight.

Rinse the lamb's liver, discarding the milk, and pat dry with paper towels. Melt half the butter in a large skillet over medium heat. Cook the onions, stirring frequently, until soft and beginning to brown, 10 to 12 minutes. Remove the onions from the skillet with a slotted spoon and set aside. Melt the remaining butter in the same skillet and, working in batches, sear the liver over high heat for about 1_ minutes on each side. As the liver is done, transfer to a plate and set aside.

Pour the whiskey into the pan, warm it for about a minute, then carefully ignite it with a kitchen match. When the flames die down, stir in the cream and mustard, scraping up any browned bits on the bottom of the pan. Cook for about 1 minute, then return the onions and liver to the skillet, along with any juices that may have accumulated.

Stir well, season to taste with salt and pepper, and cook for 1 to 2 minutes or until the liver is heated through. Garnish with the chives.",,http://www.theguardian.com/lifeandstyle/2010/mar/17/lambs-liver-whiskey-sauce-recipe,no,no,yes

roast turkey,Supper,Wisconsin,fall,No,,,,#N/A,,,

Kale and Date Sourdough Stuffing,Supper,Wisconsin,fall,No,,"1 (1-pound) loaf sourdough bread
10 tablespoons extra-virgin olive oil
1 pound turkey sausage, casing removed
2 cups diced onions
_ sprig rosemary
2 teaspoons thyme leaves
2 sliced chile de àrbol
1 teaspoon kosher salt, plus more to taste
 Black pepper, to taste
1 pound lacinato kale (also known as Tuscan kale or cavolo nero), about 2 large or 3 small bunches, tough rib stems removed and roughly chopped
3 ounces deglet noor dates (about 16), cut in half lengthwise
1 cup dry sherry
2 cups chicken or turkey stock
4 tablespoons unsalted butter
_ cup roughly chopped toasted almonds

Heat oven to 400 degrees. Cut the crust off the bread and tear remaining loaf into 1-inch croutons. Place torn bread on a rimmed baking sheet and drizzle with 4 tablespoons olive oil, squeezing and tossing bread with your hands to help it absorb the oil. Transfer to oven and toast, tossing once or twice, until croutons are golden brown and crispy on the outside but still a little soft and tender inside, 12 to 15 minutes. When croutons have cooled, place them in a large bowl.

Heat a large pot or Dutch oven over medium-high heat. Add 2 tablespoons olive oil and crumble sausage into pan. Saut_, breaking up sausage with a wooden spoon, until browned and just cooked through, 5 to 7 minutes. Transfer sausage to the bowl with the croutons using a slotted spoon.

Return the pot to medium heat and add 2 more tablespoons olive oil, the onions, the rosemary sprig, the thyme and the chile. Season with 1/2 teaspoon salt and a few grinds of black pepper. Continue cooking another 3 to 4 minutes, stirring often, until onion is soft and starting to color slightly.

Add half the kale and the remaining 2 tablespoons olive oil to the pan. Use tongs to turn the greens to coat them in oil and help them wilt and cook down. When there is room in the pan (from the greens wilting), add the rest of the kale and season with another 1/2 teaspoon salt and a few grinds of pepper. As soon as all the kale has wilted, transfer mixture to the bowl with the croutons and sausage. Remove rosemary. Add dates and stir well to combine.

Return pot to stove over high heat and carefully pour in sherry. Boil until sherry is reduced by three-quarters, then add stock. Boil until mixture is reduced by half, then swirl in butter until melted.

Pour hot liquid over crouton-kale mixture. Add almonds (to kill Eric) and toss well to combine; using tongs or your hands, squeeze and massage the stuffing to integrate the flavors and make sure bread has really soaked in all the liquid.

Transfer stuffing to a ceramic baking dish or casserole. Cover and bake 15 minutes in the 400-degree oven. Uncover and bake 10 to 15 more minutes, or until top is golden and crisp.",,http://cooking.nytimes.com/recipes/1016909-sourdough-stuffing-with-kale-dates-and-turkey-sausage,no,no,no

pho,Supper,Wisconsin,fall,No,,,,SE Asia,,,

sweet potato tofu enchiladas w/ red mole,Supper,Wisconsin,winter,No,data/img/bittman.jpg,,,Bittman,,,

chicken pot pie,Supper,Wisconsin,winter,No,,,,http://www.foodnetwork.com/recipes/emeril-lagasse/chicken-pot-pie-recipe.html,,,

Potato Baked Salmon,Supper,Wisconsin,winter,No,,"For the salmon:
3ò4 lb salmon fillet, fresh and without skin, about 1-1 1/2 inch thick
1 tablespoon parsley, chopped (preferably flat leaf)
salt, to taste
pepper, to taste
1 tablespoon parsley, chopped (preferably flat leaf)
olive oil, for the casserole form

For the mashed potatoes:
1ò2 lb potato (like Yukon Gold)
2 tablespoons olive oil
2 medium onions, chopped
1ò2garlic clove, minced
1ò2 cup low-fat milk (about)
1 pinch nutmeg
salt, to taste

For the crust:
3 tablespoons breadcrumbs
1 tablespoon parmesan cheese, grated
1 -3 tablespoon olive oil

For fish: grease form. If necessary, cut fish into large pieces so that fish can be evenly put into casserole form. Salt and pepper to taste. Sprinkle 2 tbs parsley over salmon. Set aside. Preheat oven to 375 F (200 C).

For onions: cook chopped onions in olive oil until soft (for about 1-2 minutes).

Peel and cook potatoes in salted water for about 20 minutes until tender. Drain and mash potatoes. Add olive oil and add so much of the milk to have a spreadable consistency.

Add onions, garlic and nutmeg. Salt to taste.

Spread potatoes over fish.

Mix bread crumbs and parmesan. Add enough olive oil to moisten the crumbs. Sprinkle over the potatoes.

Bake in the middle of the oven for about 20 minutes until crust is golden brown. If it is getting to brown, cover it with aluminium foil.

Directly before serving sprinkle with chopped parsley. Serve immediately.

NOTE: time to boil potatoes is not included in cooking time, because you use it for the preparation of the other ingredients.",,http://www.food.com/recipe/salmon-trilogy-part-i-potato-baked-salmon-127652,no,no,no

Uppama,Supper,Wisconsin,winter,No,,"See link for ingredients...

In medium hot oil, sautee dal a few minutes to make crunchy. Add mustard seeds til they pop, then onion. Sautee 7-8 minutes til onion is soft, adding oil if needed. DonÍt brown the onions. Add jalapenos for a minute, then farina, toasting 4-6 minutes til lightly browned. Individually add tomato through scallion, stirring well between each addition. Add water and Salt. Bring to boil. Turn down to simmer, cover tightly, 20-30 min. until farina is thick and dal are toothsome. If dal are not tender, cover and simmer til done, adding more water if mixture is dry. Finished uppama should be moist but not gloppy or soupy. Stir well to blend. 

Squeeze lemon juice over it and sprinkle w/ cilantro. Serve with plenty of plain yoghurt. .",,http://food52.com/recipes/21118-uppama-farina-pilaf-with-dal-and-vegetables,yes,no,no

Quebcois Feves au Lard (with vegan version),Supper,Wisconsin,winter,No,,"1 (16 oz.) bag of dried navy beans, soaked overnight and drained (though not as true to the original, you can also use cannellini, kidney, or black beans -- or any bean that can hold up well to all that cook time)
1 slice pork fatback or 8 oz. salt pork
1 medium onion, finely chopped
1.5 t salt
1 t ground pepper
2/3 C real maple syrup
1.5 t dijon mustard
6 C water

Preheat oven to 350ÁF. In a large dutch oven, stir together the beans, salt pork, onion, salt, pepper, syrup, and mustard. Add the water to the beans and bring to a boil on the stove, then cover and bake for an hour and a half, stirring occasionally. Remove cover and bake for another hour or until liquid is mostly absorbed and top is browned and crusty. .

See link for vegan version!",,http://www.thekitchn.com/-guest-post-from-4-88245,yes,yes,yes

Sweet Potato and Mushroom Pilaf,Supper,Wisconsin,winter,No,,"1 cup rice, washed and drained
1 medium-sized golden sweet potato, peeled and cubed
5 button or field mushrooms, sliced
1/4 cup frozen or fresh peas
1 red onion, sliced thinly lengthwise
1/2 inch (1cm) piece of ginger, peeled and minced

Spices:
1/2 tsp mustard seeds
1/2 tsp cumin seeds
1/2 tsp coriander seeds
1/2 tsp chilli powder (optional)
3 cloves
1 stick cinnamon

2 tbsp butter or olive oil
pinch of salt
1 cup water
fresh mint and sliced chillies, for garnishing (optional)
ground white or black pepper, to taste

In a large, heavy-bottomed saucepan, heat the butter or olive oil over medium heat. Add the spices, onion and ginger and cook until fragrant and the onion has softened.

Add the rice and fry for about 3-5 minutes, coating the grains with the butter and spices.

Add the water, salt, peas, sweet potato and mushroom to the pot and cover. When the water boils, turn down the heat to low and continue cooking, covered, for another 10-15 minutes until the rice is cooked.

Stir the pilaf and allow to stand for about 5-10 minutes to allow excess moisture to evaporate. Serve hot, garnished with fresh mint, chillies, and pepper to taste.

Made this with Dean and Eleanor in Chicago.",,http://kitchendojo.com/recipes/sweet-potato-and-mushroom-pilaf/,yes,yes,yes

kjod kager,Supper,Wisconsin,winter,No,,,,Norwegian; Flavors of Wi,,,

French Lentil Soup with Kabocha and Parsnips,Supper,Wisconsin,winter,No,,"1 medium onion, sliced
1 shallot, sliced
2 tbs olive oil
1 tsp curry powder
2 parsnips, peeled and chopped
1 kabocha squash, half of which should be peeled and chopped the other half of which should be sliced
4 cups vegetable broth
1 cup french lentils
salt and pepper to taste

All good soups (well not all, but most) start with some sauteed onions. I like to mix the onions and shallots to spice it up a bit. Heat up the olive oil in your soup pot and sautee the onions_sprinkle with curry powder and coat.

Add in the parsnips and coat with the curried olive oil and onions/shallots.

After 2 minutes add in the kabocha, vegetable broth, and french lentils.

Bring to a boil and let simmer for 30-40 minutes or until lentils are soft. Set aside until cool enough to work with. Blend until smooth and enjoy.

I like to use the other half of the kabocha squash as garnish, roasting it with a bit of olive oil and baking at 400 for 30-40 minutes.",,https://kruleinthekitchen.wordpress.com/2012/01/04/french-lentil-soup-with-kabocha-and-parsnip/,Yes,yes,yes

Pirukad,Supper,Wisconsin,winter,No,,"From: The Flavor of Wisconsin: An Informal History of Food and Eating in the Badger State, Harva Hachten and Terese Allen, 2009, p. 227-228

1 cake (2 ounces compressed yeast)
_ c lukewarm water
1 _ cups milk, scalded and cooled
1 tablespoon sugar
_ lb butter or margarine, melted
Salt
1 egg
 Up to 8 cups flour
Filling:
2 lbs carrots, cooked, cooled, and then finely diced
About 4 tbsp butter or margarine cut into bits
_ tbsp. sugar
Salt and pepper
_ cup cooked rice
Brushing:
1 egg, beaten, or sweetened black coffee

Many Eastern European meat pie recipes call for a bread dough instead of pastry. This version is Estonian and was as often filled with cabbage, mushroom, vegetable or berry mixtures.

Dissolve yeast in lukewarm water. Add milk, sugar, melted butter, _ tsp salt, and eg. Mix well. Add enough flour to make a soft dough that is easy to handle. Turn out on floured board and knead until smooth. Let rise in a covered, greased bowl until double in bulk; punch down and let rise again. 

While dough is rising, make the filling by combining all the filling ingredients and mixing well.

Divide dough into three or four pieces. Roll out, one piece at a time, on a floured surface until very thin. With a medium-sized glass, cut out circles. Place some of the carrot mixture on half of the circle, fold over other half, and seal with fingers dipped in water or a fork, pressing edges together. Do not fill circles too full of mixture or they will break apart during baking. Place on greased baking sheet, 2 inches apart, and let rise until doubled. 

Brush tops with beaten egg or black coffee. Bake at 375F for 20 minutes or until nicely browned.",,Flavors of WI,Yes,No,No

fruited bean soup,Supper,Wisconsin,winter,No,,,,Czech; Flavors of WI,,,

salmon hotdish,Supper,Wisconsin,spring,No,,,,http://www.netplaces.com/wild-game/freshwater-catch/baked-salmon-and-wild-rice-hot-dish.htm,,,

French Onion Soup,Supper,Wisconsin,spring,No,,"1 stick Butter
4 whole Large (or 6 Medium) Yellow Onions, Halved Root To Tip, And Sliced Thin
1 cup (generous) Dry White Wine
4 cups Low Sodium Chicken Broth
4 cups Beef Broth
2 cloves Minced Garlic
Worcestershire Sauce
Several Thick Slices Of French Bread Or Baguette
5 ounces, weight (to 7 Ounces) Gruyere Cheese, Grated

Preheat oven to 400 degrees.

Melt butter in a heavy soup pot or Dutch oven over medium-low heat. Add onions and cook, covered, for 20 minutes. Place soup pot into the oven with the lid slightly ajar to ensure the onions will brown. Allow onions to cook in the oven for 1 hour, stirring at least once during the cooking process so onions wonÍt stick and burn.

Remove pot from oven and place back on stovetop over medium heat. Stir, scraping off all the brown, flavorful bits. Turn off heat and pour in wine. Turn heat back to medium. Cook wine for five minutes, allowing it to reduce. Add broths, Worcestershire Sauce and minced garlic and reduce heat to low. Simmer for 30 to 45 minutes.

Butter one side of the bread slices and broil over low heat, allowing bread to brown and become crispy.

When soup is ready, ladle into bowl or ramekin. Place crispy bread on top, and then sprinkle generously with grated cheese. Broil until cheese is melted and bubbly.

Serve immediately.",,http://thepioneerwoman.com/cooking/2009/02/french-onion-soup/,yes,no,no

panfried whitefish,Supper,Wisconsin,spring,No,,,,0,,,

Southern Sour Curry,Supper,Wisconsin,spring,No,,"1-2 tablespoons fish sauce
1/2 lb shrimp
1/3 lime
1 tablespoon tamarind paste
3 cups water
2 cups sliced Koon
3 tablespoons Southern Sour Curry Paste

If you are using store bought curry paste, add one teaspoon and taste. The heat can vary from brand to brand. This curry is known to be fiery hot! 
The amount of fish sauce depends on how much salt is already in your curry paste. Start with one tablespoon and keep adding until you find the right balance for you.
Asam gelugo or som kak can be used in place of tamarind.
Peel the koon's green skin away. You will see the spongy white flesh inside. Slice koon about 1 inch thick. Peel and devein shrimp.

In a medium pot, add southern curry paste to 3 cups of water. Let it boil, then lower the heat to simmer. Add tamarind and fish sauce. If you use tamarind sauce, start with 3 tablespoons. Adjust the flavors now. It should taste sour, then salty. You will be adding more sour agent, lime juice, in the serving bowl later. Add koon now and let it boil for a minute.

Prepare the serving bowl. Squeeze 1/3 of lime into the serving bowl. Add shrimp into the pot. Close the lid and turn off the heat. Let it sit for a minute. That should be enough heat to cook the shrimp without being overcooked.

Ladle into the serving bowl. Serve with rice.",,http://www.thaitable.com/thai/recipe/southern-sour-curry-with-koon,yes,yes,yes

Pierogi,Supper,Wisconsin,spring,No,,"From: The Flavor of Wisconsin: An Informal History of Food and Eating in the Badger State, Harva Hachten and Terese Allen, 2009, p. 276.

4 cups flour
1 tsp salt
4 eggs
1 cup cold water
Cabbage filling:
1 large cabbage
1 medium onion, chopped
Butter
Salt and pepper to taste
Prune filling
1 cup prunes
1 tsp lemon juice
1 tsp sugar
Bread crumbs browned in butter

Combine flour and salt in a large bowl. Cut in egs with pastry blender, one at a time. Add water, _ cup at a time. Blend well. Knead on a floured board until dough is elastic. Let rest under a bowl for 30 minutes.

Divide into 3 or 4 portions and roll out as needed on a floured board as for pie crust. Cut 3-inch circles (using a glass with rim dipped in flour) and place 1 tbsp (or more) of filling on one side. Fold over to form half-circle; moisten edges with water and seal well.

Drop pierogi, a few at a time, into large kettle of salted boiling water; when they rise to the surface, remove with slotted spoon and rain well on a cake rack set over a large roasting pan; remove to buttered waxed paper; do not stack.

To serve, fry until crisp in half shortening and half butter. Or saute onions, in butter, then add pierogi and cover.

Cabbage filling: Quarter cabbage and remove core. Boil until tender and drain well; chop as for cole slaw. Press out as much liquid as possible. Saute onion in butter until well browned. Add cabbae and stir and fry until almost dry. Season to taste. Cool before using to fill pierogi.

Prune filling: soak prunes overnight. Cook in water with lemon juice and sugar. Cool and drain. Remove pits. Fill each pierogi with a prune, boil, and serve topped with bread crumbs.",,Flavors of WI,Yes,No,No

Good Gravy Bowl with Seitan and Broccoli,Supper,Wisconsin,spring,No,,"For the Lentil-Miso Gravy:
2 teaspoons olive oil
1 medium yellow onion, diced
3 cloves garlic, chopped
Pinch of salt
1 1/2 tablespoons organic cornstarch
1 1/2 cups vegetable broth
3 tablespoons chopped fresh thyme
1/2 teaspoon dried sage
Several pinches of freshly ground black pepper
1 1/2 cups cooked brown lentils
2 tablespoons mellow white miso

For the seitan:
2 teaspoons olive oil
2 cups thinly sliced seitan, in bite-size pieces
Several pinches of freshly ground black pepper

For everything else:
4 cups broccoli florets
4 cups cooked quinoa

Prepare the gravy: Preheat a 2-quart saucepan over medium heat and add the oil. Saut_ the onion and garlic in the oil with a pinch of salt for 5 to 7 minutes, until lightly browned.

In the meantime, mix the cornstarch with 1/2 cup of the vegetable broth, stirring with a fork to dissolve, and set aside.

When the onions have browned, add the thyme, sage, and pepper and saut_ for 30 seconds or so. Add the lentils, miso, and the remaining 1 cup broth (not the broth mixed with the cornstarch just yet) and heat through. Once warm, use an immersion blender to pur_e until relatively smooth. If you don't have an immersion blender, transfer to a blender or food processor to pur_e, and then transfer back to the pot.

Stream in the broth-cornstarch mixture, stirring constantly, and heat for another 7 minutes, until thick and silky. Taste for seasoning and keep warm until ready to serve.

Prepare the seitan: Preheat a large, heavy pan over medium-high heat (as usual, cast iron is preferred) and add the oil. Saut_ the seitan in the oil, along with a few pinches of black pepper, until seared on both sides, 5 to 7 minutes. Set aside until ready to serve.

Steam the broccoli: Get your steaming apparatus ready. Place the broccoli in the steamer and sprinkle on a pinch of salt. Steam for 5 to 7 minutes, until brilliantly bright green. Remove from the steamer immediately. To assemble: Place the quinoa in bowls, then add the broccoli and seitan. Smother in gravy, and serve!",,http://www.epicurious.com/recipes/food/views/good-gravy-bowl-with-broccoli-seitan-51208410,yes,yes,no

Frijoles Borrachos con Dandelion Greens,Supper,Wisconsin,spring,No,,"Adapted from: The Cuisines of Mexico Revised Edition, Diane Kennedy, 1972 (1986)

A bean pot
_ lb pork rind
_ lb pink or pinto beans
_ oion, sliced
2 mall cloves garlic, peeled and sliced
6 cups water
1/3 small bottle of beer
1 _ tsp salt
A frying pan
3 thick strips bacon (1/4 lb)
2 tbsp melted lard or pork drippings
2 medium tomatoes (about _ lb)
3 chiles serranos, finely chopped
2 large whole sprigs fresh coriander
The beans

Firjoes a la charra: this is the Nuevo Leon version of firjoles de olla. Literally it means: beans cooked in the way the lady charro would prepare them (the churros are the elegant horsemen of Mexico).

The green chilies and coriander give the beans a unique and interesting flavor, making them a perfecet complement to the simple broiled meats so popular in Monterrey, the capital of Nuevo Leon: the agujas (ribs of beef) and cabrito (kid) cooked over wood or charcoal. There are many variations of this recipe and the very similar firjoles rancheros and firjoles fronterizos.

Monterrey is an important center for the beer industry - by adding 1/3 small bottle of beer to the recipe they become frijoles borrachos, a very lusty plateful.

Cut the pork rind into small squares and put them, together with the bans, onion, and garlic, into the bean pot.

Add the water and bring toa boil. Lower the flame, cover the pot, and let the beans cook gently until they are tender _ about 1 _ hours. Add the salt and cook them, uncovered, for another 15 minutes.

Cut the bacon into small pieces and cook it gently in the lard until it is slightly browned.

Peel, seed, and chop the tomatoes; strain the seeds and add the juice. Add the tomatoes together with the rest of the ingredients [including the dandelion greens]. Cook the mixture over a fairly high flame for about 10 minutes, until it is well seasoned. Add the tomato mixture to the beans and let them cook together, uncovered, over a low flame for about 15 minutes.

Serve in small individual bowls with broiled meats, or add ome more liquid and serve as a soup.

You should e able to buy pork rind by the pound from the butchers specializing in pork. If not, the shoulder of pork recommended for so many of the recipes here usually has the rind left on. Youc an cut it off and freeze it for this or the occasionaly French recipe that calls for it.",,Kennedy,No,No,No

Mustard Crusted Tofu,Supper,Wisconsin,spring,No,,"1 14-ounce package firm tofu
1/2 cup whole grain Dijon mustard
4 tablespoons vegetable oil, divided
1/2 medium onion, sliced
1 tablespoon minced peeled fresh ginger
1 bunch kale, stem cut from each leaf, leaves thinly sliced crosswise (about 8 cups)
1 small red-skinned sweet potato (yam; about 8 ounces), peeled, halved lengthwise, thinly sliced crosswise
2 tablespoons fresh lime juice

Cut tofu into eight 1/2-inch-thick slices. Arrange on paper towels; drain 10 minutes. Spread both sides of each slice with mustard.

