rcra,Year,exporter_key,exporter_name,exporter_address,exporter_city,exporter_state,exporter_country,exporterLAT,exporterLONG,un,hazWasteDesc,units_final,phase,totalQuantityinShipment,mgmt,ExpectedManagementMethod,ReceivingFacilityEPAIDNumber,importer_name,importer_address,importer_city,importer_state,receivingfacilityzipcode,input,filename,latitude,longitude
000162152 FLE,2007,E5A8073,TONOLLI CANADA,1333 TONOLLI RD,MISSISSAUGA,ONTARIO,CANADA,43.60415,-79.58073,UN1832,"Sulfuric acid, spent",l,liquids,27210,H077,Other chemical precipitation,MID074259565,DYNECOL INC,6520 GEORGIA ST,DETROIT,MI,48211,Maira,,42.392868,-83.0325241
000162159 FLE,2007,E5A8073,TONOLLI CANADA,1333 TONOLLI RD,MISSISSAUGA,ONTARIO,CANADA,43.60415,-79.58073,UN1832,"Sulfuric acid, spent",l,liquids,25779,H077,Other chemical precipitation,MID074259565,DYNECOL INC,6520 GEORGIA ST,DETROIT,MI,48211,Maira,,42.392868,-83.0325241
000162160 FLE,2007,E5A8073,TONOLLI CANADA,1333 TONOLLI RD,MISSISSAUGA,ONTARIO,CANADA,43.60415,-79.58073,UN1832,"Sulfuric acid, spent",l,liquids,22777,H077,Other chemical precipitation,MID074259565,DYNECOL INC,6520 GEORGIA ST,DETROIT,MI,48211,Maira,,42.392868,-83.0325241
000162161 FLE,2007,E5A8073,TONOLLI CANADA,1333 TONOLLI RD,MISSISSAUGA,ONTARIO,CANADA,43.60415,-79.58073,UN1832,"Sulfuric acid, spent",l,liquids,25858,H077,Other chemical precipitation,MID074259565,DYNECOL INC,6520 GEORGIA ST,DETROIT,MI,48211,Maira,,42.392868,-83.0325241
000162252 FLE,2007,E5A8073,TONOLLI CANADA,1333 TONOLLI RD,MISSISSAUGA,ONTARIO,CANADA,43.60415,-79.58073,UN1832,"Sulfuric acid, spent",l,liquids,26256,H077,Other chemical precipitation,MID074259565,DYNECOL INC,6520 GEORGIA ST,DETROIT,MI,48211,Maira,,42.392868,-83.0325241
000162253 FLE,2007,E5A8073,TONOLLI CANADA,1333 TONOLLI RD,MISSISSAUGA,ONTARIO,CANADA,43.60415,-79.58073,UN1832,"Sulfuric acid, spent",l,liquids,26456,H077,Other chemical precipitation,MID074259565,DYNECOL INC,6520 GEORGIA ST,DETROIT,MI,48211,Maira,,42.392868,-83.0325241
000162254 FLE,2007,E5A8073,TONOLLI CANADA,1333 TONOLLI RD,MISSISSAUGA,ONTARIO,CANADA,43.60415,-79.58073,UN1832,"Sulfuric acid, spent",l,liquids,27346,H077,Other chemical precipitation,MID074259565,DYNECOL INC,6520 GEORGIA ST,DETROIT,MI,48211,Maira,,42.392868,-83.0325241
000162255 FLE,2007,E5A8073,TONOLLI CANADA,1333 TONOLLI RD,MISSISSAUGA,ONTARIO,CANADA,43.60415,-79.58073,UN1832,"Sulfuric acid, spent",l,liquids,21736,H077,Other chemical precipitation,MID074259565,DYNECOL INC,6520 GEORGIA ST,DETROIT,MI,48211,Maira,,42.392868,-83.0325241
000162256 FLE,2007,E5A8073,TONOLLI CANADA,1333 TONOLLI RD,MISSISSAUGA,ONTARIO,CANADA,43.60415,-79.58073,UN1832,"Sulfuric acid, spent",l,liquids,26471,H077,Other chemical precipitation,MID074259565,DYNECOL INC,6520 GEORGIA ST,DETROIT,MI,48211,Maira,,42.392868,-83.0325241
000162258 FLE,2007,E5A8073,TONOLLI CANADA,1333 TONOLLI RD,MISSISSAUGA,ONTARIO,CANADA,43.60415,-79.58073,UN1832,"Sulfuric acid, spent",l,liquids,25881,H077,Other chemical precipitation,MID074259565,DYNECOL INC,6520 GEORGIA ST,DETROIT,MI,48211,Maira,,42.392868,-83.0325241
000162259 FLE,2007,E5A8073,TONOLLI CANADA,1333 TONOLLI RD,MISSISSAUGA,ONTARIO,CANADA,43.60415,-79.58073,UN1832,"Sulfuric acid, spent",l,liquids,22637,H077,Other chemical precipitation,MID074259565,DYNECOL INC,6520 GEORGIA ST,DETROIT,MI,48211,Maira,,42.392868,-83.0325241
000162260 FLE,2007,E5A8073,TONOLLI CANADA,1333 TONOLLI RD,MISSISSAUGA,ONTARIO,CANADA,43.60415,-79.58073,UN1832,"Sulfuric acid, spent",l,liquids,25930,H077,Other chemical precipitation,MID074259565,DYNECOL INC,6520 GEORGIA ST,DETROIT,MI,48211,Maira,,42.392868,-83.0325241
000162261 FLE,2007,E5A8073,TONOLLI CANADA,1333 TONOLLI RD,MISSISSAUGA,ONTARIO,CANADA,43.60415,-79.58073,UN1832,"Sulfuric acid, spent",l,liquids,23174,H077,Other chemical precipitation,MID074259565,DYNECOL INC,6520 GEORGIA ST,DETROIT,MI,48211,Maira,,42.392868,-83.0325241
000162326 FLE,2007,E5A8073,TONOLLI CANADA,1333 TONOLLI RD,MISSISSAUGA,ONTARIO,CANADA,43.60415,-79.58073,UN1832,"Sulfuric acid, spent",l,liquids,25642,H077,Other chemical precipitation,MID074259565,DYNECOL INC,6520 GEORGIA ST,DETROIT,MI,48211,Maira,,42.392868,-83.0325241
000162327 FLE,2007,E5A8073,TONOLLI CANADA,1333 TONOLLI RD,MISSISSAUGA,ONTARIO,CANADA,43.60415,-79.58073,UN1832,"Sulfuric acid, spent",l,liquids,26907,H077,Other chemical precipitation,MID074259565,DYNECOL INC,6520 GEORGIA ST,DETROIT,MI,48211,Maira,,42.392868,-83.0325241
000162328 FLE,2007,E5A8073,TONOLLI CANADA,1333 TONOLLI RD,MISSISSAUGA,ONTARIO,CANADA,43.60415,-79.58073,UN1832,"Sulfuric acid, spent",l,liquids,26839,H077,Other chemical precipitation,MID074259565,DYNECOL INC,6520 GEORGIA ST,DETROIT,MI,48211,Maira,,42.392868,-83.0325241
000162329 FLE,2007,E5A8073,TONOLLI CANADA,1333 TONOLLI RD,MISSISSAUGA,ONTARIO,CANADA,43.60415,-79.58073,UN1832,"Sulfuric acid, spent",l,liquids,22977,H077,Other chemical precipitation,MID074259565,DYNECOL INC,6520 GEORGIA ST,DETROIT,MI,48211,Maira,,42.392868,-83.0325241
000162330 FLE,2007,E5A8073,TONOLLI CANADA,1333 TONOLLI RD,MISSISSAUGA,ONTARIO,CANADA,43.60415,-79.58073,UN1832,"Sulfuric acid, spent",l,liquids,34311,H077,Other chemical precipitation,MID074259565,DYNECOL INC,6520 GEORGIA ST,DETROIT,MI,48211,Maira,,42.392868,-83.0325241
000162331 FLE,2007,E5A8073,TONOLLI CANADA,1333 TONOLLI RD,MISSISSAUGA,ONTARIO,CANADA,43.60415,-79.58073,UN1832,"Sulfuric acid, spent",l,liquids,23447,H077,Other chemical precipitation,MID074259565,DYNECOL INC,6520 GEORGIA ST,DETROIT,MI,48211,Maira,,42.392868,-83.0325241
000162332 FLE,2007,E5A8073,TONOLLI CANADA,1333 TONOLLI RD,MISSISSAUGA,ONTARIO,CANADA,43.60415,-79.58073,UN1832,"Sulfuric acid, spent",l,liquids,26040,H077,Other chemical precipitation,MID074259565,DYNECOL INC,6520 GEORGIA ST,DETROIT,MI,48211,Maira,,42.392868,-83.0325241
000162333 FLE,2007,E5A8073,TONOLLI CANADA,1333 TONOLLI RD,MISSISSAUGA,ONTARIO,CANADA,43.60415,-79.58073,UN1832,"Sulfuric acid, spent",l,liquids,26169,H077,Other chemical precipitation,MID074259565,DYNECOL INC,6520 GEORGIA ST,DETROIT,MI,48211,Maira,,42.392868,-83.0325241
000162334 FLE,2007,E5A8073,TONOLLI CANADA,1333 TONOLLI RD,MISSISSAUGA,ONTARIO,CANADA,43.60415,-79.58073,UN1832,"Sulfuric acid, spent",l,liquids,26717,H077,Other chemical precipitation,MID074259565,DYNECOL INC,6520 GEORGIA ST,DETROIT,MI,48211,Maira,,42.392868,-83.0325241
000162335 FLE,2007,E5A8073,TONOLLI CANADA,1333 TONOLLI RD,MISSISSAUGA,ONTARIO,CANADA,43.60415,-79.58073,UN1832,"Sulfuric acid, spent",l,liquids,25866,H077,Other chemical precipitation,MID074259565,DYNECOL INC,6520 GEORGIA ST,DETROIT,MI,48211,Maira,,42.392868,-83.0325241
000162336 FLE,2007,E5A8073,TONOLLI CANADA,1333 TONOLLI RD,MISSISSAUGA,ONTARIO,CANADA,43.60415,-79.58073,UN1832,"Sulfuric acid, spent",l,liquids,26948,H077,Other chemical precipitation,MID074259565,DYNECOL INC,6520 GEORGIA ST,DETROIT,MI,48211,Maira,,42.392868,-83.0325241
000162337 FLE,2007,E5A8073,TONOLLI CANADA,1333 TONOLLI RD,MISSISSAUGA,ONTARIO,CANADA,43.60415,-79.58073,UN1832,"Sulfuric acid, spent",l,liquids,26543,H077,Other chemical precipitation,MID074259565,DYNECOL INC,6520 GEORGIA ST,DETROIT,MI,48211,Maira,,42.392868,-83.0325241
000162338 FLE,2007,E5A8073,TONOLLI CANADA,1333 TONOLLI RD,MISSISSAUGA,ONTARIO,CANADA,43.60415,-79.58073,UN1832,"Sulfuric acid, spent",l,liquids,27020,H077,Other chemical precipitation,MID074259565,DYNECOL INC,6520 GEORGIA ST,DETROIT,MI,48211,Maira,,42.392868,-83.0325241
000162339 FLE,2007,E5A8073,TONOLLI CANADA,1333 TONOLLI RD,MISSISSAUGA,ONTARIO,CANADA,43.60415,-79.58073,UN1832,"Sulfuric acid, spent",l,liquids,24514,H077,Other chemical precipitation,MID074259565,DYNECOL INC,6520 GEORGIA ST,DETROIT,MI,48211,Maira,,42.392868,-83.0325241
000162340 FLE,2007,E5A8073,TONOLLI CANADA,1333 TONOLLI RD,MISSISSAUGA,ONTARIO,CANADA,43.60415,-79.58073,UN1832,"Sulfuric acid, spent",l,liquids,26615,H077,Other chemical precipitation,MID074259565,DYNECOL INC,6520 GEORGIA ST,DETROIT,MI,48211,Maira,,42.392868,-83.0325241
000162341 FLE,2007,E5A8073,TONOLLI CANADA,1333 TONOLLI RD,MISSISSAUGA,ONTARIO,CANADA,43.60415,-79.58073,UN1832,"Sulfuric acid, spent",l,liquids,26823,H077,Other chemical precipitation,MID074259565,DYNECOL INC,6520 GEORGIA ST,DETROIT,MI,48211,Maira,,42.392868,-83.0325241
000162342 FLE,2007,E5A8073,TONOLLI CANADA,1333 TONOLLI RD,MISSISSAUGA,ONTARIO,CANADA,43.60415,-79.58073,UN1832,"Sulfuric acid, spent",l,liquids,23723,H077,Other chemical precipitation,MID074259565,DYNECOL INC,6520 GEORGIA ST,DETROIT,MI,48211,Maira,,42.392868,-83.0325241
000162417 FLE,2007,E5A8073,TONOLLI CANADA,1333 TONOLLI RD,MISSISSAUGA,ONTARIO,CANADA,43.60415,-79.58073,UN1832,"Sulfuric acid, spent",l,liquids,26104,H077,Other chemical precipitation,MID074259565,DYNECOL INC,6520 GEORGIA ST,DETROIT,MI,48211,Maira,,42.392868,-83.0325241
000162418 FLE,2007,E5A8073,TONOLLI CANADA,1333 TONOLLI RD,MISSISSAUGA,ONTARIO,CANADA,43.60415,-79.58073,UN1832,"Sulfuric acid, spent",l,liquids,26502,H077,Other chemical precipitation,MID074259565,DYNECOL INC,6520 GEORGIA ST,DETROIT,MI,48211,Maira,,42.392868,-83.0325241
000162419 FLE,2007,E5A8073,TONOLLI CANADA,1333 TONOLLI RD,MISSISSAUGA,ONTARIO,CANADA,43.60415,-79.58073,UN1832,"Sulfuric acid, spent",l,liquids,26505,H077,Other chemical precipitation,MID074259565,DYNECOL INC,6520 GEORGIA ST,DETROIT,MI,48211,Maira,,42.392868,-83.0325241
000162420 FLE,2007,E5A8073,TONOLLI CANADA,1333 TONOLLI RD,MISSISSAUGA,ONTARIO,CANADA,43.60415,-79.58073,UN1832,"Sulfuric acid, spent",l,liquids,27395,H077,Other chemical precipitation,MID074259565,DYNECOL INC,6520 GEORGIA ST,DETROIT,MI,48211,Maira,,42.392868,-83.0325241
000162424 FLE,2007,E5A8073,TONOLLI CANADA,1333 TONOLLI RD,MISSISSAUGA,ONTARIO,CANADA,43.60415,-79.58073,UN1832,"Sulfuric acid, spent",l,liquids,26377,H077,Other chemical precipitation,MID074259565,DYNECOL INC,6520 GEORGIA ST,DETROIT,MI,48211,Maira,,42.392868,-83.0325241
000162425 FLE,2007,E5A8073,TONOLLI CANADA,1333 TONOLLI RD,MISSISSAUGA,ONTARIO,CANADA,43.60415,-79.58073,UN1832,"Sulfuric acid, spent",l,liquids,25287,H077,Other chemical precipitation,MID074259565,DYNECOL INC,6520 GEORGIA ST,DETROIT,MI,48211,Maira,,42.392868,-83.0325241
000162426 FLE,2007,E5A8073,TONOLLI CANADA,1333 TONOLLI RD,MISSISSAUGA,ONTARIO,CANADA,43.60415,-79.58073,UN1832,"Sulfuric acid, spent",l,liquids,25143,H077,Other chemical precipitation,MID074259565,DYNECOL INC,6520 GEORGIA ST,DETROIT,MI,48211,Maira,,42.392868,-83.0325241
000162427 FLE,2007,E5A8073,TONOLLI CANADA,1333 TONOLLI RD,MISSISSAUGA,ONTARIO,CANADA,43.60415,-79.58073,UN1832,"Sulfuric acid, spent",l,liquids,25097,H077,Other chemical precipitation,MID074259565,DYNECOL INC,6520 GEORGIA ST,DETROIT,MI,48211,Maira,,42.392868,-83.0325241
000162428 FLE,2007,E5A8073,TONOLLI CANADA,1333 TONOLLI RD,MISSISSAUGA,ONTARIO,CANADA,43.60415,-79.58073,UN1832,"Sulfuric acid, spent",l,liquids,21986,H077,Other chemical precipitation,MID074259565,DYNECOL INC,6520 GEORGIA ST,DETROIT,MI,48211,Maira,,42.392868,-83.0325241
000162429 FLE,2007,E5A8073,TONOLLI CANADA,1333 TONOLLI RD,MISSISSAUGA,ONTARIO,CANADA,43.60415,-79.58073,UN1832,"Sulfuric acid, spent",l,liquids,27217,H077,Other chemical precipitation,MID074259565,DYNECOL INC,6520 GEORGIA ST,DETROIT,MI,48211,Maira,,42.392868,-83.0325241
000162430 FLE,2007,E5A8073,TONOLLI CANADA,1333 TONOLLI RD,MISSISSAUGA,ONTARIO,CANADA,43.60415,-79.58073,UN1832,"Sulfuric acid, spent",l,liquids,27323,H077,Other chemical precipitation,MID074259565,DYNECOL INC,6520 GEORGIA ST,DETROIT,MI,48211,Maira,,42.392868,-83.0325241
000162431 FLE,2007,E5A8073,TONOLLI CANADA,1333 TONOLLI RD,MISSISSAUGA,ONTARIO,CANADA,43.60415,-79.58073,UN1832,"Sulfuric acid, spent",l,liquids,27509,,Not available,MID074259565,DYNECOL INC,6520 GEORGIA ST,DETROIT,MI,48211,Maira,,42.392868,-83.0325241
000162433 FLE,2007,E5A8073,TONOLLI CANADA,1333 TONOLLI RD,MISSISSAUGA,ONTARIO,CANADA,43.60415,-79.58073,UN1832,"Sulfuric acid, spent",l,liquids,21959,H077,Other chemical precipitation,MID074259565,DYNECOL INC,6520 GEORGIA ST,DETROIT,MI,48211,Maira,,42.392868,-83.0325241
000162434 FLE,2007,E5A8073,TONOLLI CANADA,1333 TONOLLI RD,MISSISSAUGA,ONTARIO,CANADA,43.60415,-79.58073,UN1832,"Sulfuric acid, spent",l,liquids,25143,H077,Other chemical precipitation,MID074259565,DYNECOL INC,6520 GEORGIA ST,DETROIT,MI,48211,Maira,,42.392868,-83.0325241
000162435 FLE,2007,E5A8073,TONOLLI CANADA,1333 TONOLLI RD,MISSISSAUGA,ONTARIO,CANADA,43.60415,-79.58073,UN1832,"Sulfuric acid, spent",l,liquids,26437,H077,Other chemical precipitation,MID074259565,DYNECOL INC,6520 GEORGIA ST,DETROIT,MI,48211,Maira,,42.392868,-83.0325241
002635044 JJK,2007,E5A8073,TONOLLI CANADA,1333 TONOLLI RD,MISSISSAUGA,ONTARIO,CANADA,43.60415,-79.58073,UN1832,"Sulfuric acid, spent",l,liquids,28724,H077,Other chemical precipitation,MID074259565,DYNECOL INC,6520 GEORGIA ST,DETROIT,MI,48211,Maira,,42.392868,-83.0325241
002635134 JJK,2007,E5A8073,TONOLLI CANADA,1333 TONOLLI RD,MISSISSAUGA,ONTARIO,CANADA,43.60415,-79.58073,UN1832,"Sulfuric acid, spent",l,liquids,28353,H077,Other chemical precipitation,MID074259565,DYNECOL INC,6520 GEORGIA ST,DETROIT,MI,48211,Maira,,42.392868,-83.0325241
002631165 JJK,2007,E7A7211,FORD MOTOR COMPANY,THE CANADIAN ROAD,OAKVILLE,ONTARIO,CANADA,43.48327,-79.67211,UN1263,"Paint including paint, lacquer, enamel, stain, shellac solutions, varnish, polish, liquid filler, and liquid lacquer base",l,liquids,28000,H020,Solvents recovery,MID005338801,GAGE PRODUCTS,625 WANDA STREET,FERNDALE,MI,48220,Maira,,42.4516907,-83.1143265
000203567 JJK,2007,E4A7729,FORD MOTOR COMPANY,BOX 2005,ST. THOMAS,ONTARIO,CANADA,42.778084,-81.197729,UN1263,"Paint including paint, lacquer, enamel, stain, shellac solutions, varnish, polish, liquid filler, and liquid lacquer base",l,liquids,7398,H020,Solvents recovery,MID005338801,GAGE PRODUCTS,625 WANDA STREET,FERNDALE,MI,48220,Maira,,42.4516907,-83.1143265
000203654 JJK,2007,E4A7729,FORD MOTOR COMPANY,BOX 2005,ST. THOMAS,ONTARIO,CANADA,42.778084,-81.197729,UN1263,"Paint including paint, lacquer, enamel, stain, shellac solutions, varnish, polish, liquid filler, and liquid lacquer base",l,liquids,28000,H020,Solvents recovery,MID005338801,GAGE PRODUCTS,625 WANDA STREET,FERNDALE,MI,48220,Maira,,42.4516907,-83.1143265
002477666 JJK,2007,E4A7729,FORD MOTOR COMPANY,BOX 2005,ST. THOMAS,ONTARIO,CANADA,42.778084,-81.197729,EN2208,Not available,l,liquids,28000,H020,Solvents recovery,MID005338801,GAGE PRODUCTS,625 WANDA STREET,FERNDALE,MI,48220,Maira,,42.4516907,-83.1143265
002477678 JJK,2007,E4A7729,FORD MOTOR COMPANY,BOX 2005,ST. THOMAS,ONTARIO,CANADA,42.778084,-81.197729,UN1263,"Paint including paint, lacquer, enamel, stain, shellac solutions, varnish, polish, liquid filler, and liquid lacquer base",l,liquids,28000,H020,Solvents recovery,MID005338801,GAGE PRODUCTS,625 WANDA STREET,FERNDALE,MI,48220,Maira,,42.4516907,-83.1143265
002477680 JJK,2007,E4A7729,FORD MOTOR COMPANY,BOX 2005,ST. THOMAS,ONTARIO,CANADA,42.778084,-81.197729,UN1263,"Paint including paint, lacquer, enamel, stain, shellac solutions, varnish, polish, liquid filler, and liquid lacquer base",l,liquids,28000,H020,Solvents recovery,MID005338801,GAGE PRODUCTS,625 WANDA STREET,FERNDALE,MI,48220,Maira,,42.4516907,-83.1143265
002477733 JJK,2007,E4A7729,FORD MOTOR COMPANY,BOX 2005,ST. THOMAS,ONTARIO,CANADA,42.778084,-81.197729,UN1263,"Paint including paint, lacquer, enamel, stain, shellac solutions, varnish, polish, liquid filler, and liquid lacquer base",l,liquids,28000,H020,Solvents recovery,MID005338801,GAGE PRODUCTS,625 WANDA STREET,FERNDALE,MI,48220,Maira,,42.4516907,-83.1143265
002630918 JJK,2007,E4A7729,FORD MOTOR COMPANY,BOX 2005,ST. THOMAS,ONTARIO,CANADA,42.778084,-81.197729,UN1263,"Paint including paint, lacquer, enamel, stain, shellac solutions, varnish, polish, liquid filler, and liquid lacquer base",l,liquids,7398,H020,Solvents recovery,MID005338801,GAGE PRODUCTS,625 WANDA STREET,FERNDALE,MI,48220,Maira,,42.4516907,-83.1143265
002630933 JJK,2007,E4A7729,FORD MOTOR COMPANY,BOX 2005,ST. THOMAS,ONTARIO,CANADA,42.778084,-81.197729,UN1263,"Paint including paint, lacquer, enamel, stain, shellac solutions, varnish, polish, liquid filler, and liquid lacquer base",l,liquids,28000,H020,Solvents recovery,MID005338801,GAGE PRODUCTS,625 WANDA STREET,FERNDALE,MI,48220,Maira,,42.4516907,-83.1143265
002630949 JJK,2007,E4A7729,FORD MOTOR COMPANY,BOX 2005,ST. THOMAS,ONTARIO,CANADA,42.778084,-81.197729,UN1263,"Paint including paint, lacquer, enamel, stain, shellac solutions, varnish, polish, liquid filler, and liquid lacquer base",l,liquids,28000,H020,Solvents recovery,MID005338801,GAGE PRODUCTS,625 WANDA STREET,FERNDALE,MI,48220,Maira,,42.4516907,-83.1143265
002630964 JJK,2007,E4A7729,FORD MOTOR COMPANY,BOX 2005,ST. THOMAS,ONTARIO,CANADA,42.778084,-81.197729,UN1263,"Paint including paint, lacquer, enamel, stain, shellac solutions, varnish, polish, liquid filler, and liquid lacquer base",l,liquids,28000,H020,Solvents recovery,MID005338801,GAGE PRODUCTS,625 WANDA STREET,FERNDALE,MI,48220,Maira,,42.4516907,-83.1143265
002630972 JJK,2007,E4A7729,FORD MOTOR COMPANY,BOX 2005,ST. THOMAS,ONTARIO,CANADA,42.778084,-81.197729,UN1263,"Paint including paint, lacquer, enamel, stain, shellac solutions, varnish, polish, liquid filler, and liquid lacquer base",l,liquids,28000,H020,Solvents recovery,MID005338801,GAGE PRODUCTS,625 WANDA STREET,FERNDALE,MI,48220,Maira,,42.4516907,-83.1143265
002631138 JJK,2007,E4A7729,FORD MOTOR COMPANY,BOX 2005,ST. THOMAS,ONTARIO,CANADA,42.778084,-81.197729,UN1263,"Paint including paint, lacquer, enamel, stain, shellac solutions, varnish, polish, liquid filler, and liquid lacquer base",l,liquids,28000,H020,Solvents recovery,MID005338801,GAGE PRODUCTS,625 WANDA STREET,FERNDALE,MI,48220,Maira,,42.4516907,-83.1143265
000494526 FLE,2007,E8A0001,CLEAN HARBORS INC,1829 ALLANPORT ROAD,THOROLD,ONTARIO,CANADA,43.06098,-79.20001,UN1993,"Flammable liquids, n.o.s.",l,liquids,30,H040,Incineration,TXD055141378,CLEAN HARBORS INC,2027 BATTLEGROUND ROAD,LA PORTE,TX,77571,Maira,,29.6941654,-95.0923502
000494526 FLE,2007,E8A0001,CLEAN HARBORS INC,1829 ALLANPORT ROAD,THOROLD,ONTARIO,CANADA,43.06098,-79.20001,UN1953,"Compressed gas, toxic, flammable, n.o.s. Inhalation Hazard Zone A",l,liquids,2,H040,Incineration,TXD055141378,CLEAN HARBORS INC,2027 BATTLEGROUND ROAD,LA PORTE,TX,77571,Maira,,29.6941654,-95.0923502
000494526 FLE,2007,E8A0001,CLEAN HARBORS INC,1829 ALLANPORT ROAD,THOROLD,ONTARIO,CANADA,43.06098,-79.20001,UN1005,"Ammonia, anhydrous",l,liquids,40,H040,Incineration,TXD055141378,CLEAN HARBORS INC,2027 BATTLEGROUND ROAD,LA PORTE,TX,77571,Maira,,29.6941654,-95.0923502
000494526 FLE,2007,E8A0001,CLEAN HARBORS INC,1829 ALLANPORT ROAD,THOROLD,ONTARIO,CANADA,43.06098,-79.20001,UN1057,Lighter refills containing flammable gas not exceeding 4 fluid ounces (7.22 cubic inches) and 65 grams of flammable gas,l,liquids,100,H040,Incineration,TXD055141378,CLEAN HARBORS INC,2027 BATTLEGROUND ROAD,LA PORTE,TX,77571,Maira,,29.6941654,-95.0923502
000494534 FLE,2007,E8A0001,CLEAN HARBORS INC,1829 ALLANPORT ROAD,THOROLD,ONTARIO,CANADA,43.06098,-79.20001,UN3021,"Pesticides, liquid, flammable, toxic, flash point less than 23 degrees C",l,liquids,3,H040,Incineration,TXD055141378,CLEAN HARBORS INC,2027 BATTLEGROUND ROAD,LA PORTE,TX,77571,Maira,,29.6941654,-95.0923502
000494535 FLE,2007,E8A0001,CLEAN HARBORS INC,1829 ALLANPORT ROAD,THOROLD,ONTARIO,CANADA,43.06098,-79.20001,UN3105,"Organic peroxide type D, liquid",l,liquids,60,H040,Incineration,ARD069748192,CLEAN HARBORS INC,309 AMERICAN CIRCLE,EL DORADO,AR,71730,Maira,,33.2065288,-92.6290289
000494535 FLE,2007,E8A0001,CLEAN HARBORS INC,1829 ALLANPORT ROAD,THOROLD,ONTARIO,CANADA,43.06098,-79.20001,UN3105,"Organic peroxide type D, liquid",l,liquids,20,H040,Incineration,ARD069748192,CLEAN HARBORS INC,309 AMERICAN CIRCLE,EL DORADO,AR,71730,Maira,,33.2065288,-92.6290289
000494535 FLE,2007,E8A0001,CLEAN HARBORS INC,1829 ALLANPORT ROAD,THOROLD,ONTARIO,CANADA,43.06098,-79.20001,UN2810,"Toxic, liquids, organic, n.o.s.",l,liquids,100,H040,Incineration,ARD069748192,CLEAN HARBORS INC,309 AMERICAN CIRCLE,EL DORADO,AR,71730,Maira,,33.2065288,-92.6290289
000494535 FLE,2007,E8A0001,CLEAN HARBORS INC,1829 ALLANPORT ROAD,THOROLD,ONTARIO,CANADA,43.06098,-79.20001,UN2924,"Flammable liquids, corrosive, n.o.s.",l,liquids,6,,Not available,ARD069748192,CLEAN HARBORS INC,309 AMERICAN CIRCLE,EL DORADO,AR,71730,Maira,,33.2065288,-92.6290289
000494535 FLE,2007,E8A0001,CLEAN HARBORS INC,1829 ALLANPORT ROAD,THOROLD,ONTARIO,CANADA,43.06098,-79.20001,UN1993,"Flammable liquids, n.o.s.",l,liquids,200,,Not available,ARD069748192,CLEAN HARBORS INC,309 AMERICAN CIRCLE,EL DORADO,AR,71730,Maira,,33.2065288,-92.6290289
000494535 FLE,2007,E8A0001,CLEAN HARBORS INC,1829 ALLANPORT ROAD,THOROLD,ONTARIO,CANADA,43.06098,-79.20001,UN1992,"Flammable liquids, toxic, n.o.s.",l,liquids,15,H040,Incineration,ARD069748192,CLEAN HARBORS INC,309 AMERICAN CIRCLE,EL DORADO,AR,71730,Maira,,33.2065288,-92.6290289
000494535 FLE,2007,E8A0001,CLEAN HARBORS INC,1829 ALLANPORT ROAD,THOROLD,ONTARIO,CANADA,43.06098,-79.20001,UN1057,Lighter refills containing flammable gas not exceeding 4 fluid ounces (7.22 cubic inches) and 65 grams of flammable gas,l,liquids,5,H040,Incineration,ARD069748192,CLEAN HARBORS INC,309 AMERICAN CIRCLE,EL DORADO,AR,71730,Maira,,33.2065288,-92.6290289
000494535 FLE,2007,E8A0001,CLEAN HARBORS INC,1829 ALLANPORT ROAD,THOROLD,ONTARIO,CANADA,43.06098,-79.20001,UN2845,"Pyrophoric liquids, organic, n.o.s.",l,liquids,10,H040,Incineration,ARD069748192,CLEAN HARBORS INC,309 AMERICAN CIRCLE,EL DORADO,AR,71730,Maira,,33.2065288,-92.6290289
000494535 FLE,2007,E8A0001,CLEAN HARBORS INC,1829 ALLANPORT ROAD,THOROLD,ONTARIO,CANADA,43.06098,-79.20001,UN2922,"Corrosive liquids, toxic, n.o.s.",l,liquids,400,H040,Incineration,ARD069748192,CLEAN HARBORS INC,309 AMERICAN CIRCLE,EL DORADO,AR,71730,Maira,,33.2065288,-92.6290289
000494535 FLE,2007,E8A0001,CLEAN HARBORS INC,1829 ALLANPORT ROAD,THOROLD,ONTARIO,CANADA,43.06098,-79.20001,UN1760,"Corrosive liquids, n.o.s.",l,liquids,300,H040,Incineration,ARD069748192,CLEAN HARBORS INC,309 AMERICAN CIRCLE,EL DORADO,AR,71730,Maira,,33.2065288,-92.6290289
000494535 FLE,2007,E8A0001,CLEAN HARBORS INC,1829 ALLANPORT ROAD,THOROLD,ONTARIO,CANADA,43.06098,-79.20001,UN2810,"Toxic, liquids, organic, n.o.s.",l,liquids,15,H040,Incineration,ARD069748192,CLEAN HARBORS INC,309 AMERICAN CIRCLE,EL DORADO,AR,71730,Maira,,33.2065288,-92.6290289
000494552 FLE,2007,E8A0001,CLEAN HARBORS INC,1829 ALLANPORT ROAD,THOROLD,ONTARIO,CANADA,43.06098,-79.20001,UN2683,Ammonium sulfide solution,l,liquids,5,H040,Incineration,ARD069748192,CLEAN HARBORS INC,309 AMERICAN CIRCLE,EL DORADO,AR,71730,Maira,,33.2065288,-92.6290289
